,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area
0,165475.0,37.0,-120.0,884.0,423970.0,,
1,165475.0,37.0,-120.0,884.0,423970.0,,
2,165475.0,37.0,-120.0,884.0,423970.0,,
3,165475.0,37.0,-120.0,884.0,423970.0,,
4,165475.0,37.0,-120.0,884.0,423970.0,,
5,165475.0,37.0,-120.0,884.0,423970.0,,
6,165475.0,37.0,-120.0,884.0,423970.0,,
7,165475.0,37.0,-120.0,884.0,423970.0,,
8,165475.0,37.0,-120.0,884.0,423970.0,,
9,165475.0,37.0,-120.0,884.0,423970.0,,
10,165475.0,37.0,-120.0,884.0,423970.0,,
11,165475.0,37.0,-120.0,884.0,423970.0,,
12,165475.0,37.0,-120.0,884.0,423970.0,,
13,165475.0,37.0,-120.0,884.0,423970.0,,
14,165475.0,37.0,-120.0,884.0,423970.0,,
15,165475.0,37.0,-120.0,884.0,423970.0,,
16,165475.0,37.0,-120.0,884.0,423970.0,,
17,165475.0,37.0,-120.0,884.0,423970.0,,
18,165475.0,37.0,-120.0,884.0,423970.0,,
19,165475.0,37.0,-120.0,884.0,423970.0,,
20,165475.0,37.0,-120.0,884.0,423970.0,,
21,165475.0,37.0,-120.0,884.0,423970.0,,
22,165475.0,37.0,-120.0,884.0,423970.0,,
23,165475.0,37.0,-120.0,884.0,423970.0,,
24,165475.0,37.0,-120.0,884.0,423970.0,,
25,165475.0,37.0,-120.0,884.0,423970.0,,
26,165475.0,37.0,-120.0,884.0,423970.0,,
27,165475.0,37.0,-120.0,884.0,423970.0,,
28,165475.0,37.0,-120.0,884.0,423970.0,,
29,165475.0,37.0,-120.0,884.0,423970.0,,
30,165475.0,37.0,-120.0,884.0,423970.0,,
31,165475.0,37.0,-120.0,884.0,423970.0,,
32,165475.0,37.0,-120.0,884.0,423970.0,,
33,165475.0,37.0,-120.0,884.0,423970.0,,
34,165475.0,37.0,-120.0,884.0,423970.0,,
35,165475.0,37.0,-120.0,884.0,423970.0,,
36,165475.0,37.0,-120.0,884.0,423970.0,,
37,165475.0,37.0,-120.0,884.0,423970.0,,
38,165475.0,37.0,-120.0,884.0,423970.0,,
39,165475.0,37.0,-120.0,884.0,423970.0,,
40,165475.0,37.0,-120.0,884.0,423970.0,,
41,165475.0,37.0,-120.0,884.0,423970.0,,
42,165475.0,37.0,-120.0,884.0,423970.0,,
43,165475.0,37.0,-120.0,884.0,423970.0,,
44,165475.0,37.0,-120.0,884.0,423970.0,,
45,165475.0,37.0,-120.0,884.0,423970.0,,
46,165475.0,37.0,-120.0,884.0,423970.0,,
47,165475.0,37.0,-120.0,884.0,423970.0,,
48,165475.0,37.0,-120.0,884.0,423970.0,,
49,165475.0,37.0,-120.0,884.0,423970.0,,
50,165475.0,37.0,-120.0,884.0,423970.0,,
51,165475.0,37.0,-120.0,884.0,423970.0,,
52,165475.0,37.0,-120.0,884.0,423970.0,,
53,165475.0,37.0,-120.0,884.0,423970.0,,
54,165475.0,37.0,-120.0,884.0,423970.0,,
55,165475.0,37.0,-120.0,884.0,423970.0,,
56,165475.0,37.0,-120.0,884.0,423970.0,,
57,165475.0,37.0,-120.0,884.0,423970.0,,
58,165475.0,37.0,-120.0,884.0,423970.0,,
59,165475.0,37.0,-120.0,884.0,423970.0,,
60,165475.0,37.0,-120.0,884.0,423970.0,,
61,165475.0,37.0,-120.0,884.0,423970.0,,
62,165475.0,37.0,-120.0,884.0,423970.0,,
63,165475.0,37.0,-120.0,884.0,423970.0,,
64,165475.0,37.0,-120.0,884.0,423970.0,,
65,165475.0,37.0,-120.0,884.0,423970.0,,
66,165475.0,37.0,-120.0,884.0,423970.0,,
67,165475.0,37.0,-120.0,884.0,423970.0,,
68,165475.0,37.0,-120.0,884.0,423970.0,,
69,165475.0,37.0,-120.0,884.0,423970.0,,
70,165475.0,37.0,-120.0,884.0,423970.0,,
71,165475.0,37.0,-120.0,884.0,423970.0,,
72,165475.0,37.0,-120.0,884.0,423970.0,,
73,165475.0,37.0,-120.0,884.0,423970.0,,
74,165475.0,37.0,-120.0,884.0,423970.0,,
75,165475.0,37.0,-120.0,884.0,423970.0,,
76,165475.0,37.0,-120.0,884.0,423970.0,,
77,165475.0,37.0,-120.0,884.0,423970.0,,
78,165475.0,37.0,-120.0,884.0,423970.0,,
79,165475.0,37.0,-120.0,884.0,423970.0,,
80,165475.0,37.0,-120.0,884.0,423970.0,,
81,165475.0,37.0,-120.0,884.0,423970.0,,
82,165475.0,37.0,-120.0,884.0,423970.0,,
83,165475.0,37.0,-120.0,884.0,423970.0,,
84,165475.0,37.0,-120.0,884.0,423970.0,,
85,165475.0,37.0,-120.0,884.0,423970.0,,
86,165475.0,37.0,-120.0,884.0,423970.0,,
87,165475.0,37.0,-120.0,884.0,423970.0,,
88,165475.0,37.0,-120.0,884.0,423970.0,,
89,165475.0,37.0,-120.0,884.0,423970.0,,
90,165475.0,37.0,-120.0,884.0,423970.0,,
91,165475.0,37.0,-120.0,884.0,423970.0,,
92,165475.0,37.0,-120.0,884.0,423970.0,,
93,165475.0,37.0,-120.0,884.0,423970.0,,
94,165475.0,37.0,-120.0,884.0,423970.0,,
95,165475.0,37.0,-120.0,884.0,423970.0,,
96,165475.0,37.0,-120.0,884.0,423970.0,,
97,165475.0,37.0,-120.0,884.0,423970.0,,
98,165475.0,37.0,-120.0,884.0,423970.0,,
99,165475.0,37.0,-120.0,884.0,423970.0,,
100,165475.0,37.0,-120.0,884.0,423970.0,,
101,165475.0,37.0,-120.0,884.0,423970.0,,
102,165475.0,37.0,-120.0,884.0,423970.0,,
103,165475.0,37.0,-120.0,884.0,423970.0,,
104,165475.0,37.0,-120.0,884.0,423970.0,,
105,165475.0,37.0,-120.0,884.0,423970.0,,
106,165475.0,37.0,-120.0,884.0,423970.0,,
107,165475.0,37.0,-120.0,884.0,423970.0,,
108,165475.0,37.0,-120.0,884.0,423970.0,,
109,165475.0,37.0,-120.0,884.0,423970.0,,
110,165475.0,37.0,-120.0,884.0,423970.0,,
111,165475.0,37.0,-120.0,884.0,423970.0,,
112,165475.0,37.0,-120.0,884.0,423970.0,,
113,165475.0,37.0,-120.0,884.0,423970.0,,
114,165475.0,37.0,-120.0,884.0,423970.0,,
115,165475.0,37.0,-120.0,884.0,423970.0,,
116,165475.0,37.0,-120.0,884.0,423970.0,,
117,165475.0,37.0,-120.0,884.0,423970.0,,
118,165475.0,37.0,-120.0,884.0,423970.0,,
119,165475.0,37.0,-120.0,884.0,423970.0,,
120,165475.0,37.0,-120.0,884.0,423970.0,,
121,165475.0,37.0,-120.0,884.0,423970.0,,
122,165475.0,37.0,-120.0,884.0,423970.0,,
123,165475.0,37.0,-120.0,884.0,423970.0,,
124,165475.0,37.0,-120.0,884.0,423970.0,,
